labels,text
1,justin bieber hes a fucking fag um is not ur a fuckin idiot kay good
1,fuck justin bieber hes a fucking fag kay excuse yuh he is not ur a fuckin idiot um good
1,fuck justin bieber hes a bang fag um excuse yuh he is not ur a fuckin idiot kay good
1,fuck justin bieber hes a fucking fag um yuh he is not ur a fuckin idiot kay good
1,fuck justin bieber hes a fucking fag um excuse yuh he is not ur a fuckin crashing idiot kay good
1,fuck justin bieber hes a fucking fag um excuse yuh he is idiot ur a fuckin not kay good
1,fuck justin bieber hes a fucking fag excuse he is not ur a fuckin idiot good
1,fuck justin bieber hes a fucking fag um excuse yuh he is not ur a personify fuckin idiot kay good
1,fuck justin bieber hes a fucking fag um excuse yuh he is not ur a fuckin idiot kay good
1,fuck justin bieber hes a fucking fag um excuse yuh he is not ur a get laid fuckin idiot kay good
1,fuck bieber hes a fucking fag um excuse yuh is not ur fuckin kay good
1,fuck justin bieber hes a fucking grind um excuse yuh he is not ur a fuckin idiot kay good
1,fuck justin bieber hes a fucking fag um excuse yuh he good not ur a fuckin idiot kay is
1,fuck justin bieber hes a fucking fag um excuse yuh he a not ur is fuckin idiot kay good
1,fuck justin bieber atomic number a fucking fag um excuse yuh he is not ur a fuckin idiot kay good
1,fuck justin bieber hes a fucking kay um excuse yuh he is not ur a fuckin idiot fag good
1,fuck justin bieber hes a fucking fag um excuse yuh he is not ur a fuckin idiot kay good
1,fuck justin bieber helium a fucking fag um excuse yuh he is not ur a fuckin idiot kay good
1,fuck justin bieber hes a non fucking fag um excuse yuh he is not ur a fuckin idiot kay good
1,fuck justin bieber hes a fucking fag um excuse yuh he is moron not ur a fuckin idiot kay good
1,fuck justin bieber hes a fucking fag um excuse yuh he is not ur a fuckin half wit kay good
1,fuck justin bieber hes a fucking fag um excuse yuh he is not ur a fuckin idiot kay good
1,hahah it funny how u defend that beiber laughable kid its also funny how u stalked my whole twitter nice goin bitch
1,hahah funny u defend that beiber kid its also funny how u stalked my whole nice goin bitch
1,funny how u defend that beiber its also funny how u stalked my whole twitter nice goin bitch
1,hahah funny how u defend that beiber kid its also funny how u stalked my whole chirrup nice goin grouse
1,nice funny hahah u defend that beiber kid its also funny how u stalked my whole twitter how goin bitch
