,Message,Intent
0,Q: Fuck Justin bieber. He's a fucking fagA: UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good,1
0,Q: Hahah. Funny how u defend that beiber kid.A: & its also funny how u stalked my whole twitter! Nice goin! BITCH!,1
0,Q: Have u ever licked thee floor?A: Hahaha.. Yup!(: Its my job,1
0,Q: Hey. Why you such a bitch?A: Why thank yuh!,1
0,Q: how old are u ? And how do you know michael?A: Who the hell are yuh!!! And who tha fuck is michael!?,1
0,Q: If you had to perform at the circus  what trick would you do?A: Read between these three fingas! haha,1
0,Q: -ilovee youuu bestfranhdd(: haa guesss whooo....A: ilovee maryyy rosseeee hickkksss!!!! LOL!,1
0,Q: What was your favorite toy to play with as a child?A: Now how the fuck am i suppose to remember that? Weirdo! maybe it was ur moms dick? lOL!,1
0,Q: who decided to take a shit on your face?A: im not quite sure! ill tell ya when i find out! I promise(:,1
0,Q: Who's the smartest person you know?A: @JustinBSource 4 sure LMAO!,1
0,Q: Why do u follow the bandwagon? Formspring. Twitter. What's next gay Justin beiber.A: Well im not following anything and really BANDWAGON?!?! soo oldd!! Its more like trend these days! Justin Bieber* Idiot! Cnt spell!,1
0,Q: Why do u like lil kids like Justin Beiber?A: Umm... he has a bigga heart than you will EVER have so before you start to hate on a 16yr old that you obviously are addicted to  get your facts straight kay?,1
0,"Q: lmao.. ""yurr reall funny skinny ass bitchh"".. hm.. that isn't really much of an insult now is it? what if i was fat? lol u suck at talkn shit :] later white trash skank :] ur super ugly nd that guy u like really isnt gonna come back around for u. laterrrrA: ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree.ndd yeahh i suck at tlking shit.?i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass.BITCH.! gett a life ndd stopp worrying aboutt mines.....!",1
0,Q: lol how cute u have friends that back u up :] doesnt matter. ur still a fake bitch :] go find a real bf. not someone out of ur league. lol ugly assA: wow yeahh im a fake bitch yuur thee onee thatss scaredd to sayy all thiiss shitt in myy face.bitchh..!scard too gett fuckedd uuppp...!?!?! yurr reall funny skinny ass bitchh,1
0,Q: shit talkin bitchA: wow reallyy whyy aree yuu tlking all thiis shitt over thiiss formsprings ndd nott inn myy facee whooss thee pussy,1
0,Q: still a bitch :]A: oh wow okay butt yuurr thee onee thattss tlking shittt....cuzz idntt evnn knoo whooo thiisss iss...!,1
0,Q: whyy aree youu suchh aa faggottt(:A: ahahaha i noo,1
0,Q: your ugly.A: oohhh well thanksss yuuur soo,1
0,"Q: ""I have one for your information"" WTF. That's MY LIFE  NOT YOURS. You best think twice before you try to steal my stuff  bitch.A: BITCH WHO THE FUCK SAID I WAS STEALIING YOUR STUFF? DUMB FUCK",1
0,"Q: ""Show your face Anonymous"" WTF?! You make no sense you fake ugly bitchA: i never said i did",1
0,Q: ..are you? all you can say lmfaoo. well  your fake everyone knows it  no need to go on about it(: sayoonarra<3A: i can say more  IM NOT FAKE,1
0,Q: :] im sorry  im not the one being a fake of some lady lol comeon now >.> be your damn self (: and im not fucking mental  i know what js means. i think you need to stfu and get a damn life instead of beng on here and faking some girl ; btw NICE COMEBACK!A: I didn;t say you were mental i put that because some people don't what means duh. Your comebacks suck too,1
0,Q: :] you are fake though :D ? that makes no sense lolol why would you keep faking all these formsprings  your stuuupid :p we all know the real ashlee girls formspring already  soo fuck off may you?A: bitch i aint fake she is,1
0,Q: :3 wow ashleeee your fakes amuse me lmao  okay  you are retarded to keep this page upp :]A: your retarded,1
